ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist,Title
[Film119428],Nebraska,129670,/3WdcebeFY1ProN3MxKuaT78CK8w.jpg,2013-09-21,115,"Drama,Adventure",en,"Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,Stacy Keach",Alexander Payne,"Albert Berger,Ron Yerxa",Bob Nelson,Frank Gaeta,Kevin Tent,Phedon Papamichael,Mark Orton,Sandy Veneziano,J. Dennis Washington,Wendy Chuck,Jay Wejebe,Nebraska
[Film189713],Brouillard - Passage #14,292812,,2013-09-14,10,Drama,fr,,Alexandre Larose,,,,,,,,,,,Brouillard - Passage #14
[Film45301],True Grit,44264,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,2010-12-22,110,"Drama,Adventure,Western",en,"Hailee Steinfeld,Jeff Bridges,Matt Damon,Josh Brolin,Barry Pepper","Joel Coen,Ethan Coen","Joel Coen,Ethan Coen,Scott Rudin",,,,Roger Deakins,Carter Burwell,Stefan Dechant,Jess Gonchor,Mary Zophres,"Christine Beveridge,Jacenda Burkett",True Grit
[Film169323],Zama,326382,/hukWCZYt97CSer60C5WzJ2FKIWM.jpg,2017-09-28,115,"Drama,History",es,"Daniel Giménez Cacho,Lola Dueñas,Matheus Nachtergaele,Juan Minujín,Nahuel Cano",Lucrecia Martel,"Benjamín Doménech,Vânia Catani,Matías Roveda,Santiago Gallelli",Lucrecia Martel,"Sebastián Pappalardo,Guido Berenblum","Miguel Schverdfinger,Karen Harley",Rui Poças,,Renata Pinheiro,,Julio Suárez,Marisa Amenta,Zama
[Film55902],The Girl With the Dragon Tattoo,65754,/vbLedKc1BUF4FOH1GyHW62FulCc.jpg,2011-12-14,158,"Thriller,Crime,Mystery,Drama",en,"Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,Steven Berkoff",David Fincher,"Scott Rudin,Ceán Chaffin,Søren Stærmose,Ole Søndberg",Steven Zaillian,,"Angus Wall,Kirk Baxter",Jeff Cronenweth,,"Dawn Swiderski,Pernilla Olsson,Kajsa Severin Palme,Patrick Rolfe,Frida Arvidsson,Adam Davis,Linda Janson",Donald Graham Burt,Trish Summerville,"Angel Radefeld,Donald Mowat,Jenny Fred",The Girl With the Dragon Tattoo
[Film64738],Shame,76025,/aywgzSw9LK4z3DxMPZsNbzWYqQ1.jpg,2011-10-02,102,Drama,en,"Michael Fassbender,Carey Mulligan,James Badge Dale,Nicole Beharie,Lucy Walters",Steve McQueen,"Emile Sherman,Iain Canning",,,Joe Walker,Sean Bobbitt,Harry Escott,Charles Kulsziski,Judy Becker,,,Shame
[Film91158],Father,124480,,2010-11-12,85,,en,"Luis Pescador,Mikel Goenaga",José María de Orbe,,,,,,,,,,,Father
[Film137318],Youth,310593,/uz4TSOwxLb8VKWAhATgi200Wxzz.jpg,2015-05-20,125,"Comedy,Drama",it,"Michael Caine,Harvey Keitel,Rachel Weisz,Paul Dano,Mark Kozelek",Paolo Sorrentino,"Francesca Cima,Nicola Giuliano,Carlotta Calori",Paolo Sorrentino,,Cristiano Travaglioli,Luca Bigazzi,David Lang,,Ludovica Ferrario,Carlo Poggioli,,Youth
[Film149941],Nocturnal Animals,340666,/mdLDgQBD0va09npSQX5Zgo2evXM.jpg,2016-11-04,116,"Drama,Thriller",en,"Amy Adams,Jake Gyllenhaal,Aaron Taylor-Johnson,Michael Shannon,Isla Fisher",Tom Ford,"Robert Salerno,Tom Ford",,Kris Fenske,Joan Sobel,Seamus McGarvey,Abel Korzeniowski,Christopher Brown,Shane Valentino,Arianne Phillips,"Keith Sayer,Elaine L. Offers",Nocturnal Animals
[Film110973],Goodbye to Language,114982,/dQ0qBocOIz5VgoEPQDptOXRwWEv.jpg,2014-08-15,70,Drama,fr,"Jessica Erickson,Héloïse Godet,Zoé Bruneau,Kamel Abdeli,Richard Chevallier",Jean-Luc Godard,"Alain Sarde,Vincent Maraval,Brahim Chioua",Jean-Luc Godard,,,Fabrice Aragno,,,,,Oriane Cattiaux,Goodbye to Language
[Film185756],Climax,507076,/n9qDmyKtlfCKHssbYDzCmefxYi.jpg,2018-09-19,97,"Drama,Horror,Music",fr,"Sofia Boutella,Kiddy Smile,Romain Guillermic,Souheila Yacoub,Claude Gajan Maude",Gaspar Noé,"Vincent Maraval,Brahim Chioua,Richard Grandpierre,Édouard Weil",,,"Gaspar Noé,Denis Bedlow",Benoît Debie,,,Jean Rabasse,Frédéric Cambier,,Climax
[Film153978],Room,522681,/8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg,2019-01-03,100,"Horror,Thriller,Mystery",en,"Taylor Russell,Logan Miller,Deborah Ann Woll,Jay Ellis,Nik Dodani",Adam Robitel,"Neal H. Moritz,Ori Marmur",,,Steve Mirkovich,Marc Spicer,"Brian Tyler,John Carey","Cecelia van Straaten,Malwande Sigabi,Wynand Smit",Edward Thomas,,,Room
[Film142210],Elle,337674,/z446adpGUVXXPxrLpKBGnYBcofk.jpg,2016-05-25,130,"Drama,Thriller",fr,"Isabelle Huppert,Laurent Lafitte,Anne Consigny,Charles Berling,Virginie Efira",Paul Verhoeven,"Saïd Ben Saïd,Michel Merkt",,,Job ter Burg,Stéphane Fontaine,Anne Dudley,Laurent Ott,Laurent Ott,Nathalie Raoul,"Thi-Loan Nguyen,Anne Caramagnol",Elle
[Film121921],American Honey,340485,/41SVO0AElBAl7zks9dFhJ0OjHni.jpg,2016-09-30,163,Drama,en,"Sasha Lane,Shia LaBeouf,Riley Keough,McCaul Lombardi,Arielle Holmes",Andrea Arnold,"Lars Knudsen,Jay Van Hoy,Thomas Benski,Lucas Ochoa,Pouya Shahbazian,Alice Weinberg",Andrea Arnold,,Joe Bini,Robbie Ryan,,Lance Mitchell,Kelly McGehee,Alex Bovaird,,American Honey
[Film47463],Cold Fish,68341,/yZ2jW612hufmG1HUUvundKCa9Yd.jpg,2010-06-04,144,"Drama,Thriller,Crime,Horror",ja,"Mitsuru Fukikoshi,Denden,Asuka Kurosawa,Megumi Kagurazaka,Hikari Kajiwara",Sion Sono,"Yoshinori Chiba,Toshiki Kimura",,,Junichi Itou,Shinya Kimura,Tomohide Harada,Takashi Matsuzuka,,,,
[Film200553],Atlantics,496967,/jhwRsKmy9uq7JQOLrTvnqNuWXA9.jpg,2019-10-02,106,"Drama,Romance,Fantasy,Mystery",fr,"Mame Bineta Sane,Ibrahima Traore,Amadou Mbow,Fatou Sougou,Aminata Kane",Mati Diop,"Judith Lou Lévy,Eve Robin",,,Aël Dallier Vega,Claire Mathon,,,,,,Atlantics
[Film98070],The Color Wheel,83125,/vAIq1n0LjePYFLwJlHrGih58bVZ.jpg,2011-04-01,83,"Comedy,Romance",en,"Carlen Altman,Alex Ross Perry,Bob Byington,Kate Lyn Sheil,Anna Bak-Kvapil",Alex Ross Perry,Alex Ross Perry,,"Murray Trider,John Bosch",Alex Ross Perry,Sean Price Williams,Preston Spurlock,,,,,The Color Wheel
[Film173713],The Beach Bum,441384,/iXMxdC7T0t3dxislnUNybcvJmAH.jpg,2019-03-21,95,Comedy,en,"Matthew McConaughey,Snoop Dogg,Isla Fisher,Jimmy Buffett,Zac Efron",Harmony Korine,"Steve Golin,Charles-Marie Anthonioz,John Lesher,Nicolas Lhermitte,Mourad Belkeddar",,Linda Cohen,Douglas Crise,Benoît Debie,John Debney,J. Mark Harrington,Elliott Hostetter,Heidi Bivens,Susie Mendez Pfister,The Beach Bum
[Film193481],Marriage Story,492188,/pZekG6xabTmZxjmYw10wN84Hp8d.jpg,2019-09-28,137,Drama,en,"Adam Driver,Scarlett Johansson,Laura Dern,Alan Alda,Ray Liotta",Noah Baumbach,"Noah Baumbach,David Heyman",Noah Baumbach,Christopher Scarabosio,Jennifer Lame,Robbie Ryan,Randy Newman,Andrew Hull,Jade Healy,Mark Bridges,,Marriage Story
[Film135342],Mommy,265177,/iUN8FpWSjrHx0b8lPnBuIoLnd67.jpg,2014-05-22,138,Drama,fr,"Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,Alexandre Goyette",Xavier Dolan,"Xavier Dolan,Nancy Grant",Xavier Dolan,Sylvain Brassard,Xavier Dolan,André Turpin,Noia,Colombe Raby,,"François Barbeau,Xavier Dolan",,Mommy
[Film138984],From What Is Before,280492,/pFbYeirhjjZZA5qZzacd13NiYjP.jpg,2014-07-03,338,Drama,tl,"Perry Dizon,Roeder Camanag,Hazel Orencio,Karenina Haniel,Reynan Abcede",Lav Diaz,,Lav Diaz,,Lav Diaz,,,"Liryc Dela Cruz,Kim Perez",Perry Dizon,,,From What Is Before
[Film148253],Mountains May Depart,314388,/zMg4uP2Ev8lIZr1kOvHrPOM8teA.jpg,2015-11-05,131,"Romance,Drama",zh,"Zhao Tao,Zhang Yi,Liang Jingdong,Dong Zijian,Sylvia Chang",Jia Zhangke,Shozo Ichiyama,,,Matthieu Laclau,Nelson Yu Lik-wai,Yoshihiro Hanno,,,,,Mountains May Depart
[Film154618],Spotlight,314365,/gWkgMnIsd8Od7iyhEEKL5G4Qq6J.jpg,2015-11-06,129,"Drama,Thriller,History",en,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery",Tom McCarthy,"Steve Golin,Michael Sugar,Nicole Rocklin,Blye Pagon Faust","Tom McCarthy,Josh Singer",Paul Hsu,Tom McArdle,Masanobu Takayanagi,Howard Shore,Michaela Cheyne,Stephen H. Carter,Wendy Chuck,"Nichole Pleau,Mario Cacioppo,Patricia Keighran",Spotlight
[Film195655],First Cow,558582,/yS41crZ1i0fFxCQbuL7I1Y1VBwm.jpg,2020-03-06,122,"Drama,Western",en,"John Magaro,Orion Lee,Toby Jones,Ewen Bremner,Scott Shepherd",Kelly Reichardt,"Neil Kopp,Anish Savjani,Vincent Savino",,Leslie Shatz,Kelly Reichardt,Christopher Blauvelt,William Tyler,Lisa Ward,Anthony Gasparro,April Napier,,First Cow
[Film164076],Brawl in Cell Block 99,398175,/lGgIQ10NJ3d0X0uFbbUN4pRrMFZ.jpg,2017-09-23,132,"Action,Crime,Thriller",en,"Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,Dion Mucciacito",S. Craig Zahler,"Jack Heller,Dallas Sonnier",S. Craig Zahler,,Greg D'Auria,Benji Bakshi,"S. Craig Zahler,Jeff Herriott",Max Wixom,Freddy Waff,"Vanessa Porter,Megan Stark Evans",,Brawl in Cell Block 99
[Film96146],K-ON! Movie,120811,/aRe9m2K3IGhgruRc9yHUYxQIhI4.jpg,2011-12-03,110,"Animation,Family,Adventure,Comedy,Music",ja,"Aki Toyosaki,Yoko Hikasa,Satomi Sato,Minako Kotobuki,Ayana Taketatsu",Naoko Yamada,"Yoko Hatta,Naohiro Tafu,Yoshihisa Nakayama,Shinichi Nakamura",,,Kengo Shigemura,Rin Yamamoto,Hajime Hyakkoku,Seiki Tamura,,,,K-ON! Movie
[Film128112],The Duke of Burgundy,250225,/ndE4Ykns7uYSod35bu8P8P7AlMf.jpg,2014-10-18,104,"Drama,Mystery,Romance",en,"Sidse Babett Knudsen,Chiara D'Anna,Eugenia Caruso,Zita Kraszkó,Monica Swinn",Peter Strickland,Andrew Starke,Peter Strickland,Martin Pavey,Matyas Fekete,Nicholas D. Knowland,"Faris Badwan,Rachel Zeffira",Renátó Cseh,Pater Sparrow,Andrea Flesch,,The Duke of Burgundy
[Film161867],My Life as a Courgette,393559,/2uu8fIzl76C9MFiUQhjKYSLKVq.jpg,2016-10-12,66,"Animation,Drama,Family",fr,"Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud,Michel Vuillermoz,Raul Ribera",Claude Barras,"Michel Merkt,Max Karli,Marc Bonny,Armelle Glorennec,Pauline Gygax,Kate Merkt,Eric Jacquot",,,Valentin Rotelli,David Toutevoix,Sophie Hunger,,,,,My Life as a Courgette
[Film112154],Nobody's Daughter Haewon,160075,/5UirkMzr70C1hBBQNya8CgHPPa6.jpg,2013-02-28,90,Drama,ko,"Jung Eun-chae,Jane Birkin,Lee Sun-kyun,Yu Jun-sang",Hong Sang-soo,"Hong Sang-soo,Kim Cho-hee",Hong Sang-soo,,"Hahm Sung-won,Son Yeon-ji","Kim Hyung-koo,Park Hong-yeol",Jeong Yong-jin,,,,,Nobody's Daughter Haewon
[Film63777],Tinker Tailor Soldier Spy,49517,/hkzLFj4u6RLumrkkkWTUrFAupUN.jpg,2011-09-16,127,"Drama,Thriller,Mystery",en,"Gary Oldman,Colin Firth,Tom Hardy,John Hurt,Toby Jones",Tomas Alfredson,"Tim Bevan,Eric Fellner,Robyn Slovo",,,Dino Jonsäter,Hoyte van Hoytema,Alberto Iglesias,Pilar Foy,Maria Djurkovic,Jacqueline Durran,,Tinker Tailor Soldier Spy
[Film146351],La La Land,313369,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,2016-11-29,129,"Comedy,Drama,Romance,Music",en,"Ryan Gosling,Emma Stone,John Legend,Rosemarie DeWitt,J.K. Simmons",Damien Chazelle,"Gary Gilbert,Marc Platt,Jordan Horowitz,Fred Berger",Damien Chazelle,Kevin Becker,Tom Cross,Linus Sandgren,Justin Hurwitz,Austin Gorg,David Wasco,Mary Zophres,"Amy Lederman,Jed Dornoff,Albert Elizondo,Yukiko Kinkel,Lali Peer,Haruyo Sawada,Corina Kramer",La La Land
[Film86086],Kotoko,85032,/c0oZUpUVJ3sMBbeyPqShaCdgQ1T.jpg,2011-11-26,91,"Drama,Horror",ja,"Cocco,Shinya Tsukamoto,Yuko Nakamura,Eiichi Takahashi,Ryugo Nakamura",Shinya Tsukamoto,Shinya Tsukamoto,"Shinya Tsukamoto,Cocco",Masaya Kitada,Shinya Tsukamoto,,Cocco,,,,,Kotoko
[Film42542],The King's Speech,45269,/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg,2010-09-06,118,"Drama,History",en,"Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce,Timothy Spall",Tom Hooper,"Emile Sherman,Iain Canning,Gareth Unwin",,,Tariq Anwar,Danny Cohen,Alexandre Desplat,Leon McCarthy,Eve Stewart,Jenny Beavan,"Paul Gooch,Christine Whitney",The King's Speech
[Film184247],Hereditary,493922,/lHV8HHlhwNup2VbpiACtlKzaGIQ.jpg,2018-06-07,127,"Horror,Mystery,Thriller",en,"Toni Collette,Alex Wolff,Gabriel Byrne,Milly Shapiro,Ann Dowd",Ari Aster,"Kevin Scott Frakes,Lars Knudsen,Buddy Patrick",Ari Aster,,"Jennifer Lame,Lucian Johnston",Pawel Pogorzelski,Colin Stetson,Richard T. Olson,Grace Yun,Olga Mill,Elizabeth Mbousia,Hereditary
[Film67738],To the Wonder,60281,/wH9k8A3RBZ8Pjjq4J1CZSXAnCKJ.jpg,2013-02-22,112,"Drama,Romance",en,"Ben Affleck,Olga Kurylenko,Javier Bardem,Rachel McAdams,Tatiana Chiline",Terrence Malick,"Sarah Green,Nicolas Gonda",Terrence Malick,,"Mark Yoshikawa,A.J. Edwards,Shane Hazen,Keith Fraase,Christopher Roldan",Emmanuel Lubezki,Hanan Townshend,David Crank,Jack Fisk,,,To the Wonder
[Film171664],Isle of Dogs,399174,/c0nUX6Q1ZB0P2t1Jo6EeFSVnOGQ.jpg,2018-03-23,101,"Adventure,Comedy,Animation",en,"Bryan Cranston,Koyu Rankin,Bob Balaban,Edward Norton,Bill Murray",Wes Anderson,"Scott Rudin,Wes Anderson,Jeremy Dawson,Steven M. Rales",Wes Anderson,,"Ralph Foster,Edward Bursch",Tristan Oliver,Alexandre Desplat,Curt Enderle,"Adam Stockhausen,Paul Harrod",,,Isle of Dogs
[Film111368],A Field in England,179111,/3PrR2nXRrpWVgJDvO6fK3k3yEGy.jpg,2013-07-05,90,"Drama,History,Horror,Thriller",en,"Reece Shearsmith,Michael Smiley,Julian Barratt,Richard Glover,Ryan Pope",Ben Wheatley,"Andrew Starke,Claire Jones","Ben Wheatley,Amy Jump",Martin Pavey,"Ben Wheatley,Amy Jump",Laurie Rose,Jim Williams,,Andy Kelly,Emma Fryer,,A Field in England
[Film138003],Personal Shopper,340676,/6X7RXmJytCtKX8d5gnRg6kBgFCc.jpg,2016-10-19,106,"Drama,Mystery,Thriller",en,"Kristen Stewart,Lars Eidinger,Sigrid Bouaziz,Anders Danielsen Lie,Ty Olwin",Olivier Assayas,Charles Gillibert,,,Marion Monnier,Yorick Le Saux,,Michal Soun,François-Renaud Labarthe,Jürgen Doering,,Personal Shopper
[Film83511],Kill List,74725,/qwT2I3ons0oD58jIppKmd4qLtvB.jpg,2011-09-02,95,"Horror,Thriller,Crime",en,"Neil Maskell,MyAnna Buring,Harry Simpson,Michael Smiley,Struan Rodger",Ben Wheatley,"Andrew Starke,Claire Jones","Ben Wheatley,Amy Jump",,"Ben Wheatley,Robin Hill,Amy Jump",Laurie Rose,Jim Williams,Julie Ann Horan,David Butterworth,Lance Milligan,,Kill List
[Film69099],Twixt,78381,/jSn7DVovIFeTSiwwoziSYpJFaaS.jpg,2011-09-10,89,"Mystery,Fantasy,Horror",en,"Val Kilmer,Bruce Dern,Elle Fanning,Ben Chaplin,Joanne Whalley",Francis Ford Coppola,Francis Ford Coppola,,Richard Beggs,"Glen Scantlebury,Kevin Bailey,Robert Schafer",Mihai Malaimare Jr.,"Osvaldo Golijov,Dan Deacon",Jimmy DiMarcellis,,Marjorie Bowers,,Twixt
[Film188712],Pain and Glory,519010,/cMlueArJXXwZbeLpb4NhC3pxmBk.jpg,2019-03-22,114,Drama,es,"Antonio Banderas,Asier Etxeandia,Leonardo Sbaraglia,Nora Navas,Julieta Serrano",Pedro Almodóvar,Agustín Almodóvar,,,Teresa Font,José Luis Alcaine,Alberto Iglesias,María Clara Notari,Antxón Gómez,Paola Torres,,Pain and Glory
[Film154658],Annihilation,300668,/4YRplSk6BhH6PRuE9gfyw9byUJ6.jpg,2018-02-22,115,"Science Fiction,Horror",en,"Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Tessa Thompson,Tuva Novotny",Alex Garland,"Andrew Macdonald,Scott Rudin,Allon Reich,Eli Bush",,"Glenn Freemantle,Ben Barker,Niv Adiri",Barney Pilling,Rob Hardy,"Geoff Barrow,Ben Salisbury","Elaine Kusmishko,Simon Elsley,Gareth Cousins,Lauren Doss",Mark Digby,Sammy Sheldon,"Belinda Parish,Charlotte Rogers,Samantha Denyer",Annihilation
[Film108599],Puella Magi Madoka Magica the Movie Part III: The Story of the Rebellion,212162,/68cts97TtCXcAlimoAHrHlQUNfn.jpg,2013-10-26,116,"Mystery,Animation,Fantasy",ja,"Aoi Yuki,Chiwa Saito,Eri Kitamura,Kaori Mizuhashi,Ai Nonaka","Akiyuki Simbo,Yukihiro Miyamoto","Atsuhiro Iwakami,Mitsutoshi Kubota",,,Rie Matsubara,Shinichiro Eto,Yuki Kajiura,Ken Naito,"Ayumi Shiraishi,Yosuke Anai",,,Puella Magi Madoka Magica the Movie Part III: The Story of the Rebellion
[Film109873],Studies for the Decay of the West,163934,/bvPAFeYzMc0njZtBLVvMHdAtYiA.jpg,2010-01-01,80,Documentary,de,,Klaus Wyborny,,Klaus Wyborny,,Klaus Wyborny,Klaus Wyborny,Klaus Wyborny,,,,,Studies for the Decay of the West
[Film84745],Gravity,49047,/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg,2013-10-03,91,"Science Fiction,Thriller,Drama",en,"Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,Phaldut Sharma",Alfonso Cuarón,"David Heyman,Alfonso Cuarón","Alfonso Cuarón,Jonás Cuarón","Glenn Freemantle,Ben Barker,Eilam Hoffman","Alfonso Cuarón,Mark Sanger",Emmanuel Lubezki,Steven Price,,Andy Nicholson,"Jany Temime,Janey Temime",Pamela S. Westmore,Gravity
[Film97039],Calvary,157832,/jzgiam18I0gR20LB8BAE5u4dIdm.jpg,2014-04-11,102,Drama,en,"Brendan Gleeson,Chris O'Dowd,Kelly Reilly,Aidan Gillen,Dylan Moran",John Michael McDonagh,"Flora Fernández-Marengo,Chris Clark,James Flynn",John Michael McDonagh,,Chris Gill,Larry Smith,Patrick Cassidy,Fiona Daly,Mark Geraghty,Eimer Ní Mhaoldomhnaigh,Dolly Ryan,Calvary
[Film185728],Minding the Gap,489985,/yILwIrXSiyXR2AjNAETSuyfnw5o.jpg,2018-08-17,93,Documentary,en,"Keire Johnson,Zack Mulligan,Bing Liu,Nina Bowgren,Mengyue Bolen",Bing Liu,"Diane Quon,Bing Liu",,,"Joshua Altman,Bing Liu",Bing Liu,"Nathan Halpern,Chris Ruggiero",,,,,Minding the Gap
[Film113080],The Past,152780,/8Up4NRjD2RYsgUA5408Ny0FlhBF.jpg,2013-05-17,130,"Drama,Mystery",fr,"Bérénice Bejo,Ali Mosaffa,Tahar Rahim,Pauline Burlet,Elyes Aguis",Asghar Farhadi,Alexandre Mallet-Guy,Asghar Farhadi,,Juliette Welfling,Mahmoud Kalari,"Evgueni Galperine,Youli Galperine",,Claude Lenoir,Jean-Daniel Vuillermoz,Lucía Bretones-Méndez,
[Film178091],If Beale Street Could Talk,465914,/qhUIOTSi3kr4290tKrVyeriyvrv.jpg,2018-12-14,120,"Romance,Drama",en,"KiKi Layne,Stephan James,Regina King,Teyonah Parris,Colman Domingo",Barry Jenkins,"Dede Gardner,Barry Jenkins,Jeremy Kleiner,Adele Romanski,Megan Ellison,Sara Murphy",,Odin Benitez,"Nat Sanders,Joi McMillon",James Laxton,Nicholas Britell,"Robert Pyzocha,Oliver Rivas Madera",Mark Friedberg,Caroline Eselin Shaefer,Kim Taylor,If Beale Street Could Talk
[Film84107],Skyfall,37724,/izrHg2UzxG3YXTBcKFaUbYp9LWA.jpg,2012-10-25,143,"Action,Adventure,Thriller",en,"Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris",Sam Mendes,"Barbara Broccoli,Michael G. Wilson",,"Dino Dimuro,Christopher Assells,Peter Staubli",Stuart Baird,Roger Deakins,Thomas Newman,"Paul Inglis,James Foster,Jason Knox-Johnston,Dean Clegg,Neal Callow,Marc Holmes",Dennis Gassner,Jany Temime,"Sallie Jaye,Wakana Yoshihara,Donald Mowat,Alessandro Bertolazzi,Christine Allsopp,Luca Vannella,Andrea Finch,Morag Smith,Pollyanna Coxon-Smith",Skyfall
[Film73370],Midnight in Paris,59436,/4wBG5kbfagTQclETblPRRGihk0I.jpg,2011-05-11,94,"Fantasy,Comedy,Romance",en,"Owen Wilson,Rachel McAdams,Kurt Fuller,Mimi Kennedy,Michael Sheen",Woody Allen,"Letty Aronson,Stephen Tenenbaum,Jaume Roures",Woody Allen,,Alisa Lepselter,Darius Khondji,,Jean-Yves Rabier,Anne Seibel,Sonia Grande,"Lydia Pujols,Patricia Planche",Midnight in Paris
[Film163685],Aquarius,377273,/Xue7dRut5p2l6a9oCwTLI53GM9.jpg,2016-09-01,147,Drama,pt,"Sônia Braga,Maeve Jinkings,Irandhir Santos,Humberto Carrão,Fernando Teixeira",Kleber Mendonça Filho,"Saïd Ben Saïd,Emilie Lesclaux,Michel Merkt",,,Eduardo Serrano,"Pedro Sotero,Fabricio Tadeu",,,"Juliano Dornelles,Thales Junqueira",Rita Azevedo,Tayce Vale,Aquarius
[Film191304],Waves,533444,/3xbjL0z8iH8e8L3USyeKGQrBfuZ.jpg,2019-11-15,136,"Romance,Drama",en,"Kelvin Harrison Jr.,Taylor Russell,Renée Elise Goldsberry,Sterling K. Brown,Lucas Hedges",Trey Edward Shults,"Kevin Turen,James Wilson,Trey Edward Shults",,Johnnie Burn,"Trey Edward Shults,Isaac Hagy",Drew Daniels,"Trent Reznor,Atticus Ross",Margaux Rust,Elliott Hostetter,Rachel Dainer-Best,,Waves
[Film192002],The Ballad of Buster Scruggs,537996,/voxl654m7p36y8FLu8oQD7dfwwK.jpg,2018-11-09,132,"Comedy,Drama,Western",en,"Tim Blake Nelson,James Franco,Zoe Kazan,Liam Neeson,Tom Waits","Joel Coen,Ethan Coen","Joel Coen,Ethan Coen,Megan Ellison,Sue Naegle",,,"Joel Coen,Ethan Coen",Bruno Delbonnel,Carter Burwell,Stephen Christensen,Jess Gonchor,,"Gretchen Bright,Bonnie Masoner,Sheila Trujillo-Gomez",The Ballad of Buster Scruggs
[Film24384],Submarine,49020,/vmt5vG9dSmswmzHSYvn1S4Nl4uG.jpg,2011-03-18,97,"Drama,Comedy,Romance",en,"Noah Taylor,Paddy Considine,Craig Roberts,Yasmin Paige,Steffan Rhodri",Richard Ayoade,"Mark Herbert,Andy Stebbing,Mary Burke,Rebecca Davies",Richard Ayoade,,"Chris Dickens,Nick Fenton",Erik Wilson,Andrew Hewitt,Sarah Pasquali,Gary Williamson,Charlotte Walter,"Jennifer Harty,John Munro",Submarine
[Film103051],Evangelion: 3.0 You Can (Not) Redo,75629,/n7pn1oal9KJtbk3hIRTloqcwQVP.jpg,2012-11-17,96,"Animation,Science Fiction,Action,Drama",ja,"Megumi Ogata,Akira Ishida,Yuko Miyamura,Megumi Hayashibara,Kotono Mitsuishi",Hideaki Anno,,,,Yeong Mi-Lee,Tooru Fukushi,Shiro Sagisu,Hiroshi Katou,,,,Evangelion: 3.0 You Can (Not) Redo
[Film78777],The Place Beyond the Pines,97367,/vY5j2xQzMGWmxBuhQo0HfA4Lxqb.jpg,2013-03-14,140,"Drama,Crime",en,"Ryan Gosling,Eva Mendes,Bradley Cooper,Dane DeHaan,Emory Cohen",Derek Cianfrance,"Sidney Kimmel,Lynette Howell Taylor,Alex Orlovsky,Jamie Patricof",,Dan Flosdorf,"Jim Helton,Ron Patane",Sean Bobbitt,Mike Patton,Michael Ahern,Inbal Weinberg,Erin Benach,Janeen Schreyer,The Place Beyond the Pines
[Film157917],"I, Daniel Blake",374473,/nu3WVABXz2W85N6JXTZOT1aWS3b.jpg,2016-10-21,100,Drama,en,"Dave Johns,Hayley Squires,Dylan McKiernan,Briana Shann,Kate Rutter",Ken Loach,Rebecca O'Brien,,,Jonathan Morris,Robbie Ryan,George Fenton,Caroline Barton,"Fergus Clegg,Linda Wilson",Jo Slater,,"I, Daniel Blake"
[Film193497],Knives Out,546554,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,2019-11-27,131,"Comedy,Drama,Crime,Mystery",en,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,Michael Shannon",Rian Johnson,"Rian Johnson,Ram Bergman",Rian Johnson,Al Nelson,Bob Ducsay,Steve Yedlin,Nathan Johnson,Jeremy Woodward,David Crank,Jenny Eagan,"Francisco X. Pérez,Jay Wejebe",Knives Out
[Film23622],Film Socialism,54083,/dOpivxEdChk7KMBEjfeBkY726sV.jpg,2010-05-19,102,Drama,fr,"Catherine Tanvier,Christian Sinniger,Jean-Marc Stehlé,Patti Smith,Robert Maloubier",Jean-Luc Godard,"Alain Sarde,Ruth Waldburger",,,Jean-Luc Godard,,,,,,,Film Socialism
[Film85191],Play,533642,/rpS7ROczWulqfaXG2klYapULXKm.jpg,2019-06-19,90,Horror,en,"Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry,Mark Hamill,Tim Matheson",Lars Klevberg,"Seth Grahame-Smith,David Katzenberg",,,"Tom Elkins,Julia Wong",Brendan Uegama,Bear McCreary,Doug Girling,Dan Hermansen,Jori Woodman,,Play
