ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist,Title
[Film103931],The Grand Budapest Hotel,120467,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2014-02-26,100,"Comedy,Drama",en,"Ralph Fiennes,Tony Revolori,Adrien Brody,Willem Dafoe,Saoirse Ronan",Wes Anderson,"Scott Rudin,Wes Anderson,Jeremy Dawson,Steven M. Rales",,,Barney Pilling,Robert D. Yeoman,Alexandre Desplat,Stephan O. Gessler,Adam Stockhausen,Milena Canonero,"Heike Merker,Norma Webb",The Grand Budapest Hotel
[Film186199],Shoplifters,505192,/4nfRUOv3LX5zLn98WS1WqVBk9E9.jpg,2018-06-02,121,Drama,ja,"Lily Franky,Sakura Ando,Mayu Matsuoka,Kairi Jyo,Miyu Sasaki",Hirokazu Kore-eda,"Hijiri Taguchi,Akihiko Yose,Kaoru Matsuzaki",,,Hirokazu Kore-eda,Ryûto Kondô,Haruomi Hosono,,Keiko Mitsumatsu,Kazuko Kurosawa,,Shoplifters
[Film93995],Under the Skin,97370,/55wmcXJIDYITr7JDijJTdvwSaAv.jpg,2014-03-14,108,"Thriller,Science Fiction,Drama",en,"Scarlett Johansson,Kryštof Hádek,Paul Brannigan,Michael Moreland,Scott Dymond",Jonathan Glazer,"Nick Wechsler,James Wilson",,Johnnie Burn,Paul Watts,Daniel Landin,Mica Levi,"Martin McNee,Emer O'Sullivan",Chris Oddy,Stephen Noble,"Christine Beveridge,Helen Barrett",Under the Skin
[Film85461],Mad Max: Fury Road,76341,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,2015-05-13,121,"Action,Adventure,Science Fiction",en,"Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman",George Miller,"George Miller,Doug Mitchell,P.J. Voeten","George Miller,Nick Lathouris,Brendan McCarthy","Chuck Michael,Julian Slater,Christopher S. Aud,David White,Matt Lange",Margaret Sixel,John Seale,,"Jacinta Leong,Shira Hockman",Colin Gibson,Jenny Beavan,Marli Kruger,Mad Max: Fury Road
[Film168586],The Florida Project,394117,/bnSTP1PY2fDyat0eUa4QouuGV7F.jpg,2017-10-06,112,Drama,en,"Willem Dafoe,Brooklynn Prince,Bria Vinaite,Valeria Cotto,Christopher Rivera",Sean Baker,"Sean Baker,Shih-Ching Tsou,Kevin Chinoy,Francesca Silvestri,Chris Bergoch,Alex Saks,Andrew Duncan","Sean Baker,Chris Bergoch",,Sean Baker,Alexis Zabe,,,Stephonik Youth,Fernando Rodriguez,,The Florida Project
[Film117440],The Assassin,253450,/10RcGMfzg2lIW1aLcR4ILfNbHK2.jpg,2015-08-27,105,"Action,Drama,History",zh,"Shu Qi,Chang Chen,Nikki Hsieh,Sheu Fang-Yi,Ethan Juan",Hou Hsiao-hsien,"Dai Song,Peter Lam,Stephen Lam Bing-Kwan,Chen Yiqi",,,"Liao Ching-Song,Huang Chih-Chia",Mark Lee Ping-Bing,Lim Giong,,Huang Wen-Ying,Huang Wen-Ying,,The Assassin
[Film177335],Long Day's Journey Into Night,486898,/8wUxYW7v2sahnFwipwzjRo8Z3sP.jpg,2018-10-07,140,"Drama,Mystery",zh,"Huang Jue,Tang Wei,Sylvia Chang,Lee Hong Chi",Bi Gan,"Huang Xiaoming,Han Han,Yang Shen",,Li Danfeng,Qin Yanan,"Dong Jingsong,David Chizallet,Yao Hung-I","Lim Giong,Chih-Yuan Hsu",,Ta-chuen Chang,,,Long Day's Journey Into Night
[Film185207],The Lighthouse,503919,/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,2019-10-18,109,"Drama,Fantasy,Thriller,Horror",en,"Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes,Kyla Nicolle",Robert Eggers,"Jay Van Hoy,Robert Eggers,Youree Henley,Rodrigo Teixeira,Lourenço Sant'Anna","Robert Eggers,Max Eggers",Damian Volpe,Louise Ford,Jarin Blaschke,Mark Korven,Matt Likely,Craig Lathrop,Linda Muir,,The Lighthouse
[Film89177],Inside Llewyn Davis,86829,/cjiE3mMvDSYqVBh1iTmPs3RNY3x.jpg,2013-10-13,104,"Drama,Music",en,"Oscar Isaac,Carey Mulligan,John Goodman,Garrett Hedlund,Justin Timberlake","Joel Coen,Ethan Coen","Joel Coen,Ethan Coen,Scott Rudin","Joel Coen,Ethan Coen",,"Joel Coen,Ethan Coen",Bruno Delbonnel,,Deborah Jensen,Jess Gonchor,Mary Zophres,,Inside Llewyn Davis
[Film51535],Uncle Boonmee Who Can Recall His Past Lives,38368,/boRtJM2zA6EzcV8diQFyVequzoS.jpg,2010-06-25,114,"Comedy,Drama,Fantasy",th,"Jenjira Pongpas,Sakda Kaewbuadee,Thanapat Saisaymar,Natthakarn Aphaiwonk,Geerasak Kulhong,Wallapa Mongkolprasert",Apichatpong Weerasethakul,"Michael Weber,Luis Miñarro,Hans W. Geißendörfer,Apichatpong Weerasethakul,Keith Griffiths,Tiana Mille,Simon Field",Apichatpong Weerasethakul,"Koichi Shimizu,Akritchalerm Kalayanamitr",Lee Chatametikool,Sayombhu Mukdeeprom,,,Akekarat Homlaor,"Chatchai Chaiyont,Buangoen Ngamcharoenputtasri","Phim U-mari,Amornsak Boatrat,Chanokpim Chotikanatjaphan,Natchanan Kitikriengkrai,Achawan Pupawan",Uncle Boonmee Who Can Recall His Past Lives
