ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
28.LinhadeMontagem],LinhadeMontagem,,,,,,,,,,,,,,,,,,
37.BlackFragmentsofSamba],BlackFragmentsofSamba,,,,,,,,,,,,,,,,,,
[Film100122],"Orinoko, New World",,,,,,,,,,,,,,,,,,
[Film10021],Bloody Moon,39918,/u5pDNuOifUKeCUBgLXyXllaLukf.jpg,1981-03-27,90,"Horror,Mystery,Thriller",de,"Olivia Pascal,Christoph Moosbrugger,Nadja Gerganoff,Alexander Waechter,Jasmin Losensky",Jesús Franco,Wolf C. Hartwig,,,"Karl Aulitzky,Christine Jank",Juan Soler,Gerhard Heinz,Klaus Haase,,Rolf Albrecht,Lore Sottung
[Film10049],Burial Ground: The Nights of Terror,24919,/cV86W9mgTuDvwWgKRrnWp8t1LJ7.jpg,1981-01-23,85,Horror,it,"Karin Well,Gianluigi Chirizzi,Mariangela Giordano,Antonella Antinori,Simone Mattioli",Andrea Bianchi,Gabriele Crisanti,Piero Regnoli,,,,"Berto Pisano,Elsio Mancuso",,,,
[Film1005],Jesus of Montreal,4486,/evtfMmuJyCQch2JIdWO2SdGWgJA.jpg,1989-05-17,119,Drama,fr,"Lothaire Bluteau,Catherine Wilkening,Johanne-Marie Tremblay,Rémy Girard,Robert Lepage",Denys Arcand,"Pierre Gendron,Roger Frappier,Monique Létourneau",,,Isabelle Dedieu,Guy Dufaux,,,,,
[Film10065],Metropolitan,569090,/4vhwVmVw12IXeNPgjG5tEv8DAzb.jpg,1989-12-13,85,Documentary,en,Rob Curling,,,,,,,,,,,
[Film100974],Love Hotel,115788,/t6M7Txm2cxR90IOycIs39F5jbjI.jpg,1985-08-03,88,Drama,ja,"Noriko Hayami,Minori Terada,Kiriko Shimizu,Nobutaka Masutomi",Shinji Sômai,Yoshiyuki Kaino,,,Isao Tomita,Noboru Shinoda,,,,,
[Film10144],A Better Tomorrow II,18305,/tpnR174jTJqdduuOFGeI7RdKHZZ.jpg,1987-12-17,105,"Action,Crime,Thriller",zh,"Ti Lung,Chow Yun-Fat,Leslie Cheung,Guan Shan,Kenneth Tsang",John Woo,Tsui Hark,John Woo,,,"Bob Thompson,Horace Wong","David Wu,Joseph Koo",,,,
[Film101455],The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,169714,/aHArsm3EHBgnqFbHsZL2ii2jOrV.jpg,1984-03-28,98,Documentary,en,Studs Terkel,"Mary Dore,Noel Buckner,Sam Sills",,,,,,,,,,
